,responsibility
0,"Design and influence a PR strategy and SMART Plan, aligned with marketing and communication activities across the Hotel and the region."
1,Ensure consistent and relevant customer communications within appropriate channels with an aim of establishing market credibility and awareness.
2,"Research, write press releases and ensure that they reach the target audience."
3,"Maintain relationships with influential lifestyle media, publications, celebrities, and artists to enhance editorial coverage and support."
4,"Manage photo shoots within the hotel for fashion, ad, and editorial shoots as well as W-related food/event photography."
5,"Develop, plan, and manage PR resources according to an agreed budget."
6,"Produce sales & publicity brochures, collateral, promotional videos, and digital programs to reach the target audience."
7,"Responsible for organizing press conferences, exhibitions, and press tours."
8,Evaluate advertising and promotional programs to ensure alignment with brand passion points.
9,"Write and distribute media alerts and press releases for property events, promotions, and outlets."
10,Supervise the efforts of the team in maintaining the hotel’s image and identity.
11,Draft speeches for the hotel’s senior leadership team (SLT) for public events and meetings.
12,Host media at hotel events to maintain relationships and create editorial imagery and messages.
13,Create positive social media content.
14,Generate character editorial content to manage the public image of W Insider.
15,"Seek out opportunities to participate in or collaborate with relevant events, conferences, or exhibitions to create awareness and support sales."
16,"Manage the arrangements for special events such as sponsorship of dinners, fashion shows, and music events."
17,Cooperate and work closely with leaders on public and media relations and marketing activities.
18,Prepare analysis and reports on the hospitality industry.
19,"Update and maintain various communication resources such as guest database, media list, and branded website."
20,Deal with high-level complaints from in-house guests and handle appropriate arrangements for VIPs and special attention guests’ arrivals.
21,"Attend all Sales & Marketing Meetings, launch events, marketing campaigns, and advertising programs."
22,Prepare and execute PR/promotional campaigns.
23,"Draft press releases, news, and articles."
24,"Maintain relationships with the general public and media, both online and offline."
25,Review editorial schedules and ensure the W brand image is well represented.
26,"Maintain good relationship with the general public and the media, both online and offline."
27,Consult MI Area team PR regarding PR issues or public interviews.
28,Write and deliver public announcements of the hotel.
29,Provide assistance to hotel management regarding PR activities.
30,Manage online media and PR support channels.
31,Generate celebrity endorsement through relationships and image through social media.
32,Prepare a monthly marketing activity report with marketing report including media value.
33,"Follow through on PR initiated events, media interviews, press releases, and community service initiatives."
34,Maintain image of the W brand.
35,"Maintain the media kit and ensure that the photo library, including master shots, is kept in good condition."
36,Manage work operations within the department as well as other related departments.
37,Implement other tasks as directed by leaders.
38,Abide by policies and procedures established by the Retreat and practices Starwood code of conduct.
39,"Maintain admin materials such as Smart Plan, Marketing plan, room arrangements, meal arrangements, media fams trips."
40,Plan and implement integrated marketing campaign in discussion with Businesses
41,Create and deploy campaigns (digital and off-line) and track performance.
42,"Develop marketing collaterals including brochures, trade fair materials, Digital Assets, email campaigns, advertisement with support from agency, where applicable."
43,Content management on website
44,"Work alongside with peers in the Marketing team across the region to localize, implement, track and analyze campaigns."
45,"Day-to-day management of agencies, where required."
46,"Write high-engagement, error-free content that matches the brand's voice"
47,Execute shoots and handle photography equipment
48,Develop content marketing pieces for various channels
49,Interpret creative direction and translate brief ideas into convincing copy concepts
50,Manage numerous projects with tight deadlines
